# format:aut|changed|aut_name|org_id|source
354|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
355|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
356|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
357|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
358|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
359|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
360|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
361|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
362|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
363|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
364|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
365|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
366|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
367|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
368|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
369|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
370|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
371|20090514|DNIC-ASBLK-00306-00371|DNIC-ARIN|ARIN
372|20030115|NSN-AMES-AS|NASA-ARIN|ARIN
373|20060725|MITRE-AS-4|THEMIT-1-ARIN|ARIN
374|20080820|BROOKS-AS|7ESG-ARIN|ARIN
375|20000101|TIETOTIE-AS|@aut-375-RIPE|RIPE
376|19981016|RISQ-AS|RISQR-3-ARIN|ARIN
377|19941211|SNLA-NET-AS|SNL-ARIN|ARIN
378|20000101|MACHBA-AS|@aut-378-RIPE|RIPE
379|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
380|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
381|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
382|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
383|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
384|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
385|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
386|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
387|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
388|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
389|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
390|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
391|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
392|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
393|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
394|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
395|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
396|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
397|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
398|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
399|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
400|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
401|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
402|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
403|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
404|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
405|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
406|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
407|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
408|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
409|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
410|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
411|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
412|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
413|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
414|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
415|20080606|AFCONC-BLOCK1-AS|7ESG-ARIN|ARIN
